
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
401,Thabo Sefolosha\sefolth01,SF,34,UTA,26,0,289,4.8,9.7,.500,2.2,4.7,.464,2.7,5.0,.533,1.3,2.3,.571,0.7,11.5,12.2,1.7,3.8,0.2,2.5,3.8,13.2,,101,100
402,Wayne Selden\seldewa01,SG,24,TOT,35,0,484,7.0,17.6,.396,2.2,7.0,.313,4.8,10.6,.451,2.5,3.3,.750,1.7,3.1,4.8,4.2,1.1,0.6,2.4,5.2,18.7,,97,112
402,Wayne Selden\seldewa01,SG,24,MEM,32,0,455,7.2,17.9,.404,2.2,7.0,.317,5.0,10.9,.459,2.4,3.2,.759,1.8,3.1,4.9,4.0,1.1,0.7,2.6,5.3,19.1,,97,112
402,Wayne Selden\seldewa01,SG,24,CHI,3,0,29,3.4,13.5,.250,1.7,6.7,.250,1.7,6.7,.250,3.4,5.1,.667,0.0,3.4,3.4,6.7,1.7,0.0,0.0,3.4,11.8,,96,115
403,Collin Sexton\sextoco01,PG,20,CLE,43,33,1272,9.5,23.0,.414,1.4,3.7,.387,8.1,19.3,.420,4.2,4.8,.884,1.1,4.0,5.0,4.8,0.8,0.1,3.9,4.4,24.7,,96,122
404,Landry Shamet\shamela01,SG,21,PHI,43,2,870,6.4,14.7,.435,4.1,10.5,.394,2.3,4.2,.538,1.9,2.3,.814,0.6,2.9,3.5,2.1,1.1,0.3,1.1,4.8,18.9,,116,114
405,Iman Shumpert\shumpim01,SG,28,SAC,32,30,820,6.1,14.8,.410,3.4,8.9,.386,2.6,5.8,.447,1.5,1.8,.844,0.7,4.5,5.2,3.6,2.3,0.6,1.4,4.2,17.1,,111,112
406,Pascal Siakam\siakapa01,PF,24,TOR,43,42,1317,9.2,16.1,.573,1.1,3.4,.337,8.1,12.8,.635,4.1,5.3,.771,2.3,8.1,10.5,4.4,1.5,1.1,2.8,4.7,23.7,,122,108
407,Ben Simmons\simmobe01,PG,22,PHI,42,42,1403,9.4,16.4,.576,0.0,0.0,,9.4,16.4,.576,4.5,7.9,.570,3.0,9.9,12.9,11.5,1.9,1.0,4.9,3.6,23.4,,115,107
408,Jonathon Simmons\simmojo02,SG,29,ORL,35,7,724,6.2,17.3,.358,1.0,4.7,.217,5.2,12.6,.411,3.3,4.2,.803,1.2,4.2,5.5,5.2,1.1,0.9,3.3,3.7,16.8,,88,112
