Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Kareem Abdul-Jabbar*\abdulka01,C,32,LAL,82,,3143,12.3,20.3,.604,0.0,0.0,.000,12.3,20.3,.604,5.3,7.0,.765,2.8,10.2,13.0,5.4,1.2,4.1,4.4,3.2,29.8,,118,100
2,Tom Abernethy\abernto01,PF,25,GSW,67,,1222,6.0,12.4,.481,0.0,0.0,.000,6.0,12.4,.483,2.2,3.2,.683,2.4,5.0,7.5,3.4,1.4,0.5,1.5,4.6,14.1,,109,108
3,Alvan Adams\adamsal01,C,25,PHO,75,,2168,9.8,18.5,.531,0.0,0.0,.000,9.8,18.4,.533,4.0,5.0,.797,3.3,9.5,12.9,6.8,2.3,1.2,4.6,5.0,23.6,,107,99
4,Tiny Archibald*\architi01,PG,31,BOS,80,80,2864,6.3,13.0,.482,0.1,0.3,.222,6.2,12.7,.488,5.9,7.1,.830,1.0,2.3,3.2,11.0,1.7,0.2,4.0,3.6,18.5,,115,105
5,Dennis Awtrey\awtrede01,C,31,CHI,26,,560,2.3,5.0,.450,0.0,0.0,,2.3,5.0,.450,2.7,4.2,.640,2.4,7.2,9.7,3.4,1.0,1.3,2.3,5.6,7.2,,102,107
6,Gus Bailey\bailegu01,SG,28,WSB,20,,180,4.2,9.1,.457,0.3,0.3,1.000,3.9,8.8,.441,1.3,3.4,.385,1.6,5.7,7.3,6.8,1.8,1.0,2.9,4.7,9.9,,95,105
7,James Bailey\baileja01,PF,22,SEA,67,,726,7.9,17.6,.450,0.0,0.0,,7.9,17.6,.450,4.4,6.6,.673,4.6,8.2,12.8,1.8,1.4,3.5,5.1,7.5,20.3,,93,98
8,Greg Ballard\ballagr01,SF,25,WSB,82,,2438,10.5,21.1,.495,0.3,0.9,.340,10.1,20.2,.502,3.3,4.4,.753,4.6,7.6,12.2,3.1,1.7,0.7,2.6,3.8,24.5,,110,104
9,Mike Bantom\bantomi01,SF,28,IND,77,,2330,7.6,15.0,.505,0.0,0.1,.333,7.6,14.9,.506,2.7,4.1,.665,3.8,5.2,9.0,5.5,1.7,1.0,3.7,5.3,17.9,,105,107
10,Marvin Barnes\barnema01,PF,27,SDC,20,,287,4.0,9.9,.400,0.0,0.0,,4.0,9.9,.400,2.6,5.3,.500,5.6,7.1,12.7,3.0,0.8,2.0,3.0,8.6,10.6,,95,109
