Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
451,C.J. Williams\willicj01,SG,28,MIN,6,0,53,4.5,12.7,.357,0.0,5.4,.000,4.5,7.3,.625,0.0,0.0,,0.0,1.8,1.8,2.7,0.9,0.0,2.7,9.1,9.1,,68,118
452,Johnathan Williams\willijo04,C,23,LAL,6,0,85,6.1,10.5,.579,0.0,0.0,,6.1,10.5,.579,0.6,2.8,.200,6.1,5.5,11.6,2.2,0.6,1.7,1.1,10.5,12.7,,122,111
453,Kenrich Williams\willike04,SF,24,NOP,9,0,49,4.8,13.3,.357,1.0,2.9,.333,3.8,10.5,.364,0.0,0.0,,1.9,7.6,9.5,0.0,1.0,0.0,1.9,8.6,10.5,,78,114
454,Lou Williams\willilo02,SG,32,LAC,29,0,721,10.7,26.1,.410,2.3,6.5,.347,8.4,19.6,.431,9.8,10.7,.919,0.9,3.7,4.6,9.3,1.1,0.1,4.8,1.9,33.4,,109,116
455,Marvin Williams\willima02,PF,32,CHO,31,31,814,6.3,14.7,.427,3.4,8.9,.377,2.9,5.7,.505,1.5,2.2,.676,1.4,8.5,9.8,2.0,1.5,1.3,0.9,4.0,17.4,,113,109
456,Robert Williams\williro04,C,21,BOS,16,0,142,7.2,9.6,.750,0.0,0.0,,7.2,9.6,.750,2.0,3.4,.600,5.8,9.2,15.0,0.7,1.0,8.5,2.4,5.1,16.4,,131,96
457,Troy Williams\willitr02,SF,24,SAC,18,0,286,6.5,14.0,.460,2.3,6.6,.341,4.2,7.4,.565,1.5,2.4,.600,1.5,7.4,8.9,1.6,1.6,1.3,1.3,5.5,16.6,,108,111
458,D.J. Wilson\wilsodj01,PF,22,MIL,6,0,107,7.0,13.2,.533,3.1,6.6,.467,3.9,6.6,.600,0.9,1.8,.500,3.5,8.3,11.8,1.3,0.9,1.3,0.9,6.1,18.0,,130,106
459,Justise Winslow\winslju01,PF,22,MIA,27,14,760,6.9,17.0,.406,2.3,6.0,.383,4.6,11.0,.419,2.6,3.8,.667,1.8,7.1,8.9,6.1,1.8,0.6,3.8,4.2,18.7,,99,108
460,Christian Wood\woodch01,PF,23,MIL,6,0,37,11.4,21.6,.529,2.5,5.1,.500,8.9,16.5,.538,6.3,7.6,.833,5.1,15.2,20.3,2.5,0.0,0.0,2.5,2.5,31.7,,125,106
461,Delon Wright\wrighde01,PG,26,TOR,30,2,533,6.4,15.1,.422,1.7,5.2,.333,4.6,9.9,.468,2.2,2.4,.923,2.3,4.7,7.0,5.4,1.9,0.8,2.2,2.5,16.6,,110,109
462,Guerschon Yabusele\yabusgu01,PF,23,BOS,16,0,87,6.1,16.2,.379,1.1,6.1,.182,5.0,10.0,.500,5.0,6.7,.750,3.9,5.0,8.9,3.9,2.2,0.6,0.6,6.7,18.4,,116,106
463,Nick Young\youngni01,SG,33,DEN,4,0,37,4.0,12.0,.333,4.0,10.7,.375,0.0,1.3,.000,0.0,0.0,,0.0,1.3,1.3,2.7,0.0,1.3,2.7,5.4,12.0,,89,114
464,Thaddeus Young\youngth01,PF,30,IND,34,34,1010,8.5,16.8,.504,0.6,2.3,.250,7.9,14.4,.545,2.0,3.4,.609,3.6,6.1,9.7,2.8,2.4,0.8,1.8,3.7,19.6,,110,103
465,Trae Young\youngtr01,PG,20,ATL,32,32,935,8.5,22.3,.380,2.0,8.2,.246,6.5,14.1,.458,5.2,6.7,.779,1.0,3.4,4.5,11.3,1.2,0.5,6.2,2.3,24.1,,95,116
466,Cody Zeller\zelleco01,C,26,CHO,31,31,761,7.3,12.4,.587,0.3,0.8,.308,7.0,11.6,.607,3.4,3.9,.855,4.1,7.6,11.7,3.8,1.5,1.5,2.3,6.5,18.2,,126,109
467,Ante Zizic\zizican01,C,22,CLE,23,1,237,7.4,14.6,.507,0.0,0.0,,7.4,14.6,.507,3.8,6.6,.581,5.1,9.7,14.8,2.3,0.4,1.5,4.4,6.3,18.6,,99,116
468,Ivica Zubac\zubaciv01,C,21,LAL,13,2,140,8.7,14.4,.605,0.0,0.0,,8.7,14.4,.605,2.3,2.7,.875,4.3,9.7,14.0,1.7,1.0,3.3,2.0,7.3,19.7,,123,105
